,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
508,509," said Mr. Marvel, looking nervously about him, trying to count the money in his pockets by his unaided sense of touch, and full of a strange and novel idea. ",Lord! /newquote It sounds most astonishing.,Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,said Mr Marvel
509,510,NO APPEND,"Don t it? Extra-ordinary, _I_ call it. Never heard tell of Invisible Men before, I haven t, but nowadays one hears such a lot of extra-ordinary things that ",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Implicit,
510,511," asked Marvel, trying to seem at his ease.",That all he did?,Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,asked Marvel
511,512, said the mariner.,"It s enough, ain t it?",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
512,513, asked Marvel. ,"Didn t go Back by any chance? /newquote Just escaped and that s all, eh?",Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,asked Marvel
513,514, said the mariner. ,All! /newquote Why! ain t it enough?,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
514,515, said Marvel.,"Quite enough,",Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,said Marvel
515,516, said the mariner. ,"I should think it was enough, /newquote I should think it was enough.",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
516,517," asked Mr. Marvel, anxious.","He didn t have any pals it don t say he had any pals, does it?",Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,asked Mr Marvel
517,518, asked the mariner. ,"Ain t one of a sort enough for you? /newquote No, thank Heaven, as one might say, he didn t.",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,asked the mariner
518,519,He nodded his head slowly. ,"It makes me regular uncomfortable, the bare thought of that chap running about the country! He is at present At Large, and from certain evidence it is supposed that he has taken _took_, I suppose they mean the road to Port Stowe. You see we re right _in_ it! None of your American wonders, this time. And just think of the things he might do! Where d you be, if he took a drop over and above, and had a fancy to go for you? Suppose he wants to rob who can prevent him? He can trespass, he can burgle, he could walk through a cordon of policemen as easy as me or you could give the slip to a blind man! Easier! For these here blind chaps hear uncommon sharp, I m told. And wherever there was liquor he fancied ",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Implicit,
519,520, said Mr. Marvel. ,"He s got a tremenjous advantage, certainly, /newquote And well...",Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,said Mr Marvel
520,521, said the mariner. ,"You re right, /newquote He _has_.",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
521,522,"All this time Mr. Marvel had been glancing about him intently, listening for faint footfalls, trying to detect imperceptible movements. He seemed on the point of some great resolution. He coughed behind his hand.",NO QUOTE,,,,0,14,1.0,1.0
522,523,"He looked about him again, listened, bent towards the mariner, and lowered his voice: ",The fact of it is I happen to know just a thing or two about this Invisible Man. From private sources.,Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Implicit,
523,524," said the mariner, interested. ",Oh! /newquote _You_?,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
524,525, said Mr. Marvel. ,"Yes, /newquote Me.",Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,said Mr Marvel
525,526, said the mariner. ,Indeed! /newquote And may I ask ,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
526,527, said Mr. Marvel behind his hand. ,"You ll be astonished, /newquote It s tremenjous.",Mr. Thomas Marvel,['The Mariner'],NO MONOLOGUE,0,14,Explicit,said Mr Marvel
527,528, said the mariner.,Indeed!,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
528,529, began Mr. Marvel eagerly in a confidential undertone. Suddenly his expression changed marvellously.  /newquote  he said. He rose stiffly in his seat. His face was eloquent of physical suffering.  /newquote  he said.,"The fact is, /newquote Ow! /newquote Wow!",The Invisible Man,"['Mr. Hall', 'Jaffers', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,14,Anaphoric,said the aerial voice
529,530," said the mariner, concerned.",What s up?,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
530,531," said Mr. Marvel, and put his hand to his ear. He caught hold of his books.  /newquote  he said. He edged in a curious way along the seat away from his interlocutor.  /newquote  protested the mariner. Mr. Marvel seemed to consult with himself.  /newquote  said a Voice.  /newquote  said Mr. Marvel.","Toothache, /newquote I must be getting on, I think, /newquote But you was just a-going to tell me about this here Invisible Man! /newquote Hoax, /newquote It s a hoax,",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,protested the mariner
531,532, said the mariner.,"But it s in the paper,",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
532,533, said Marvel. ,"Hoax all the same, /newquote I know the chap that started the lie. There ain t no Invisible Man whatsoever Blimey.",Mr. Thomas Marvel,"['The Invisible Man', 'The Mariner']",NO MONOLOGUE,0,14,Explicit,said Marvel
533,534,NO APPEND,But how  bout this paper? D you mean to say ?,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Implicit,
534,535," said Marvel, stoutly.","Not a word of it,",Mr. Thomas Marvel,"['The Invisible Man', 'The Mariner']",NO MONOLOGUE,0,14,Explicit,said Marvel
535,536,"The mariner stared, paper in hand. Mr. Marvel jerkily faced about.  /newquote  said the mariner, rising and speaking slowly, ","Wait a bit, /newquote D you mean to say ?",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
536,537, said Mr. Marvel.,"I do,",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,14,Implicit,
537,538,NO APPEND,"Then why did you let me go on and tell you all this blarsted stuff, then? What d yer mean by letting a man make a fool of himself like that for? Eh?",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Implicit,
538,539,Mr. Marvel blew out his cheeks. The mariner was suddenly very red indeed; he clenched his hands.  /newquote  he said; ,"I been talking here this ten minutes, /newquote and you, you little pot-bellied, leathery-faced son of an old boot, couldn t have the elementary manners ",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Anaphoric,he said
539,540, said Mr. Marvel.,"Don t you come bandying words with _me_,",Mr. Thomas Marvel,"['The Invisible Man', 'The Mariner']",NO MONOLOGUE,0,14,Explicit,said Mr Marvel
540,541,NO APPEND,Bandying words! I m a jolly good mind ,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Implicit,
541,542," said a Voice, and Mr. Marvel was suddenly whirled about and started marching off in a curious spasmodic manner.  /newquote  said the mariner.  /newquote  said Mr. Marvel. He was receding obliquely with a curious hurrying gait, with occasional violent jerks forward. Some way along the road he began a muttered monologue, protests and recriminations.","Come up, /newquote You d better move on, /newquote Who s moving on?",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
542,543," said the mariner, legs wide apart, elbows akimbo, watching the receding figure. ","Silly devil! /newquote I ll show you, you silly ass hoaxing _me_! It s here on the paper!",The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,14,Explicit,said the mariner
543,544,"Mr. Marvel retorted incoherently and, receding, was hidden by a bend in the road, but the mariner still stood magnificent in the midst of the way, until the approach of a butcher s cart dislodged him. Then he turned himself towards Port Stowe.  /newquote  he said softly to himself. ","Full of extra-ordinary asses, /newquote Just to take me down a bit that was his silly game It s on the paper!",The Mariner,['The Mariner'],NO MONOLOGUE,0,14,Anaphoric,he said softly to himself
544,545,"And there was another extraordinary thing he was presently to hear, that had happened quite close to him. And that was a vision of a  /newquote  (no less) travelling without visible agency, along by the wall at the corner of St. Michael s Lane. A brother mariner had seen this wonderful sight that very morning. He had snatched at the money forthwith and had been knocked headlong, and when he had got to his feet the butterfly money had vanished. Our mariner was in the mood to believe anything, he declared, but that was a bit _too_ stiff. Afterwards, however, he began to think things over.",fist full of money,Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,14,Explicit,said Mr Marvel
545,546,"The story of the flying money was true. And all about that neighbourhood, even from the august London and Country Banking Company, from the tills of shops and inns doors standing that sunny weather entirely open money had been quietly and dexterously making off that day in handfuls and rouleaux, floating quietly along by walls and shady places, dodging quickly from the approaching eyes of men. And it had, though no man had traced it, invariably ended its mysterious flight in the pocket of that agitated gentleman in the obsolete silk hat, sitting outside the little inn on the outskirts of Port Stowe.",NO QUOTE,,,,0,14,1.0,1.0
546,547,It was ten days after and indeed only when the Burdock story was already old that the mariner collated these facts and began to understand how near he had been to the wonderful Invisible Man.,NO QUOTE,,,,0,14,1.0,1.0
547,548,THE MAN WHO WAS RUNNING,NO QUOTE,,,,0,15,1.0,1.0
548,549,"In the early evening time Dr. Kemp was sitting in his study in the belvedere on the hill overlooking Burdock. It was a pleasant little room, with three windows north, west, and south and bookshelves covered with books and scientific publications, and a broad writing-table, and, under the north window, a microscope, glass slips, minute instruments, some cultures, and scattered bottles of reagents. Dr. Kemp s solar lamp was lit, albeit the sky was still bright with the sunset light, and his blinds were up because there was no offence of peering outsiders to require them pulled down. Dr. Kemp was a tall and slender young man, with flaxen hair and a moustache almost white, and the work he was upon would earn him, he hoped, the fellowship of the Royal Society, so highly did he think of it.",NO QUOTE,,,,0,15,1.0,1.0
549,550,"And his eye, presently wandering from his work, caught the sunset blazing at the back of the hill that is over against his own. For a minute perhaps he sat, pen in mouth, admiring the rich golden colour above the crest, and then his attention was attracted by the little figure of a man, inky black, running over the hill-brow towards him. He was a shortish little man, and he wore a high hat, and he was running so fast that his legs verily twinkled.",NO QUOTE,,,,0,15,1.0,1.0
550,551, said Dr. Kemp. ,"Another of those fools, /newquote Like that ass who ran into me this morning round a corner, with the   Visible Man a-coming, sir!  I can t imagine what possesses people. One might think we were in the thirteenth century.",Kemp,[],NO MONOLOGUE,0,15,Explicit,said Dr Kemp
551,552,"He got up, went to the window, and stared at the dusky hillside, and the dark little figure tearing down it.  /newquote  said Dr. Kemp, ","He seems in a confounded hurry, /newquote but he doesn t seem to be getting on. If his pockets were full of lead, he couldn t run heavier.",Kemp,[],NO MONOLOGUE,0,15,Explicit,said Dr Kemp
552,553, said Dr. Kemp.,"Spurted, sir,",Kemp,[],NO MONOLOGUE,0,15,Explicit,said Dr Kemp
553,554,"In another moment the higher of the villas that had clambered up the hill from Burdock had occulted the running figure. He was visible again for a moment, and again, and then again, three times between the three detached houses that came next, and then the terrace hid him.",NO QUOTE,,,,0,15,1.0,1.0
554,555," said Dr. Kemp, swinging round on his heel and walking back to his writing-table.",Asses!,Kemp,[],NO MONOLOGUE,0,15,Explicit,said Dr Kemp
555,556,"But those who saw the fugitive nearer, and perceived the abject terror on his perspiring face, being themselves in the open roadway, did not share in the doctor s contempt. By the man pounded, and as he ran he chinked like a well-filled purse that is tossed to and fro. He looked neither to the right nor the left, but his dilated eyes stared straight downhill to where the lamps were being lit, and the people were crowded in the street. And his ill-shaped mouth fell apart, and a glairy foam lay on his lips, and his breath came hoarse and noisy. All he passed stopped and began staring up the road and down, and interrogating one another with an inkling of discomfort for the reason of his haste.",NO QUOTE,,,,0,15,1.0,1.0
556,557,"And then presently, far up the hill, a dog playing in the road yelped and ran under a gate, and as they still wondered something a wind a pad, pad, pad, a sound like a panting breathing, rushed by.",NO QUOTE,,,,0,15,1.0,1.0
557,558,"People screamed. People sprang off the pavement: It passed in shouts, it passed by instinct down the hill. They were shouting in the street before Marvel was halfway there. They were bolting into houses and slamming the doors behind them, with the news. He heard it and made one last desperate spurt. Fear came striding by, rushed ahead of him, and in a moment had seized the town.",NO QUOTE,,,,0,15,1.0,1.0
558,559,NO APPEND,The Invisible Man is coming! The Invisible Man!,The Invisible Man,['Kemp'],NO MONOLOGUE,0,15,Implicit,
559,560,IN THE ,JOLLY CRICKETERS,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,16,Anaphoric,he cried
560,561,"The  /newquote  is just at the bottom of the hill, where the tram-lines begin. The barman leant his fat red arms on the counter and talked of horses with an anaemic cabman, while a black-bearded man in grey snapped up biscuit and cheese, drank Burton, and conversed in American with a policeman off duty.",Jolly Cricketers,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,16,Anaphoric,he cried
561,562," said the anaemic cabman, going off at a tangent, trying to see up the hill over the dirty yellow blind in the low window of the inn. Somebody ran by outside.  /newquote  said the barman.","What s the shouting about! /newquote Fire, perhaps,",The Cabman,"['The Barman', 'The Man With The Black Beard', 'The Policeman']",NO MONOLOGUE,0,16,Explicit,said the anaemic cabman
562,563,"Footsteps approached, running heavily, the door was pushed open violently, and Marvel, weeping and dishevelled, his hat gone, the neck of his coat torn open, rushed in, made a convulsive turn, and attempted to shut the door. It was held half open by a strap.",NO QUOTE,,,,0,16,1.0,1.0
563,564," he bawled, his voice shrieking with terror. ",Coming! /newquote He s coming. The  Visible Man! After me! For Gawd s sake!  Elp!  Elp!  Elp!,Mr. Thomas Marvel,"['The Man With The Black Beard', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Anaphoric,he bawled
564,565," said the policeman.  /newquote  He went to the door, released the strap, and it slammed. The American closed the other door.","Shut the doors, /newquote Who s coming? What s the row?",The Policeman,"['The Man With The Black Beard', 'Mr. Thomas Marvel', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,said the policeman
565,566," said Marvel, staggering and weeping, but still clutching the books. ","Lemme go inside, /newquote Lemme go inside. Lock me in somewhere. I tell you he s after me. I give him the slip. He said he d kill me and he will.",Mr. Thomas Marvel,"['The Man With The Black Beard', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,said Marvel
566,567, said the man with the black beard. ,"_You re_ safe, /newquote The door s shut. What s it all about?",The Man With The Black Beard,"['Mr. Thomas Marvel', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,said the man with the black beard
567,568," said Marvel, and shrieked aloud as a blow suddenly made the fastened door shiver and was followed by a hurried rapping and a shouting outside.  /newquote  cried the policeman,  /newquote  Mr. Marvel began to make frantic dives at panels that looked like doors. ","Lemme go inside, /newquote Hullo, /newquote who s there? /newquote He ll kill me he s got a knife or something. For Gawd s sake !",Mr. Thomas Marvel,"['The Man With The Black Beard', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Implicit,
568,569, said the barman.  /newquote  And he held up the flap of the bar.,"Here you are, /newquote Come in here.",The Barman,"['The Man With The Black Beard', 'Mr. Thomas Marvel', 'The Policeman', 'The Cabman']",NO MONOLOGUE,0,16,Explicit,said the barman
569,570,Mr. Marvel rushed behind the bar as the summons outside was repeated.  /newquote  he screamed. ,"Don t open the door, /newquote _Please_ don t open the door. _Where_ shall I hide?",Mr. Thomas Marvel,"['The Man With The Black Beard', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Anaphoric,he screamed
570,571," asked the man with the black beard, with one hand behind him. ","This, this Invisible Man, then? /newquote I guess it s about time we saw him.",The Man With The Black Beard,"['Mr. Thomas Marvel', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,asked the man with the black beard
571,572,"The window of the inn was suddenly smashed in, and there was a screaming and running to and fro in the street. The policeman had been standing on the settee staring out, craning to see who was at the door. He got down with raised eyebrows.  /newquote  he said. The barman stood in front of the bar-parlour door which was now locked on Mr. Marvel, stared at the smashed window, and came round to the two other men.","It s that,",The Policeman,"['The Man With The Black Beard', 'Mr. Thomas Marvel', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Anaphoric,he said
572,573,"Everything was suddenly quiet.  /newquote  said the policeman, going irresolutely to the door. ","I wish I had my truncheon, /newquote Once we open, in he comes. There s no stopping him.",The Policeman,"['The Cabman', 'The Barman', 'The Man With The Black Beard']",NO MONOLOGUE,0,16,Explicit,said the policeman
573,574," said the anaemic cabman, anxiously.","Don t you be in too much hurry about that door,",The Cabman,"['The Barman', 'The Man With The Black Beard', 'The Policeman']",NO MONOLOGUE,0,16,Explicit,said the anaemic cabman
574,575," said the man with the black beard,  /newquote  He showed a revolver in his hand.","Draw the bolts, /newquote and if he comes ",The Man With The Black Beard,"['The Cabman', 'The Barman', 'The Policeman']",NO MONOLOGUE,0,16,Explicit,said the man with the black beard
575,576, said the policeman; ,"That won t do, /newquote that s murder.",The Policeman,"['The Cabman', 'The Barman', 'The Man With The Black Beard']",NO MONOLOGUE,0,16,Explicit,said the policeman
576,577, said the man with the beard. ,"I know what country I m in, /newquote I m going to let off at his legs. Draw the bolts.",The Man With The Black Beard,"['The Cabman', 'The Barman', 'The Policeman']",NO MONOLOGUE,0,16,Explicit,said the man with the beard
577,578," said the barman, craning over the blind.","Not with that blinking thing going off behind me,",The Barman,"['The Cabman', 'The Policeman', 'The Man With The Black Beard']",NO MONOLOGUE,0,16,Explicit,said the barman
578,579," said the man with the black beard, and stooping down, revolver ready, drew them himself. Barman, cabman, and policeman faced about.","Very well,",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,16,Anaphoric,she said
579,580," said the bearded man in an undertone, standing back and facing the unbolted doors with his pistol behind him. No one came in, the door remained closed. Five minutes afterwards when a second cabman pushed his head in cautiously, they were still waiting, and an anxious face peered out of the bar-parlour and supplied information.  /newquote  asked Marvel. ","Come in, /newquote Are all the doors of the house shut? /newquote He s going round prowling round. He s as artful as the devil.",Mr. Thomas Marvel,"['The Man With The Black Beard', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,asked Marvel
580,581, said the burly barman.  /newquote  He looked about him helplessly. The bar-parlour door slammed and they heard the key turn. ,Good Lord! /newquote There s the back! Just watch them doors! I say ! /newquote There s the yard door and the private door. The yard door ,The Barman,"['The Man With The Black Beard', 'Mr. Thomas Marvel', 'The Policeman', 'The Cabman']",NO MONOLOGUE,0,16,Explicit,said the burly barman
581,582,He rushed out of the bar.,NO QUOTE,,,,0,16,1.0,1.0
582,583,"In a minute he reappeared with a carving-knife in his hand.  /newquote  he said, and his fat underlip dropped.  /newquote  said the first cabman.",The yard door was open! /newquote He may be in the house now!,The Invisible Man,['Kemp'],NO MONOLOGUE,0,16,Implicit,
583,584, said the barman. ,"He s not in the kitchen, /newquote There s two women there, and I ve stabbed every inch of it with this little beef slicer. And they don t think he s come in. They haven t noticed ",The Barman,"['The Cabman', 'The Policeman', 'The Man With The Black Beard']",NO MONOLOGUE,0,16,Explicit,said the barman
584,585, asked the first cabman.,Have you fastened it?,The Cabman,"['The Barman', 'The Man With The Black Beard', 'The Policeman']",NO MONOLOGUE,0,16,Explicit,asked the first cabman
585,586, said the barman.,"I m out of frocks,",The Barman,"['The Cabman', 'The Policeman', 'The Man With The Black Beard']",NO MONOLOGUE,0,16,Explicit,said the barman
586,587,"The man with the beard replaced his revolver. And even as he did so the flap of the bar was shut down and the bolt clicked, and then with a tremendous thud the catch of the door snapped and the bar-parlour door burst open. They heard Marvel squeal like a caught leveret, and forthwith they were clambering over the bar to his rescue. The bearded man s revolver cracked and the looking-glass at the back of the parlour starred and came smashing and tinkling down.",NO QUOTE,,,,0,16,1.0,1.0
587,588,"As the barman entered the room he saw Marvel, curiously crumpled up and struggling against the door that led to the yard and kitchen. The door flew open while the barman hesitated, and Marvel was dragged into the kitchen. There was a scream and a clatter of pans. Marvel, head down, and lugging back obstinately, was forced to the kitchen door, and the bolts were drawn.",NO QUOTE,,,,0,16,1.0,1.0
588,589,"Then the policeman, who had been trying to pass the barman, rushed in, followed by one of the cabmen, gripped the wrist of the invisible hand that collared Marvel, was hit in the face and went reeling back. The door opened, and Marvel made a frantic effort to obtain a lodgment behind it. Then the cabman collared something.  /newquote  said the cabman. The barman s red hands came clawing at the unseen.  /newquote  said the barman.","I got him, /newquote Here he is!",Cuss,['Bunting'],NO MONOLOGUE,0,16,Anaphoric,he gasped
589,590,"Mr. Marvel, released, suddenly dropped to the ground and made an attempt to crawl behind the legs of the fighting men. The struggle blundered round the edge of the door. The voice of the Invisible Man was heard for the first time, yelling out sharply, as the policeman trod on his foot. Then he cried out passionately and his fists flew round like flails. The cabman suddenly whooped and doubled up, kicked under the diaphragm. The door into the bar-parlour from the kitchen slammed and covered Mr. Marvel s retreat. The men in the kitchen found themselves clutching at and struggling with empty air.",NO QUOTE,,,,0,16,1.0,1.0
590,591, cried the man with the beard. ,Where s he gone? /newquote Out?,The Man With The Black Beard,"['Mr. Thomas Marvel', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,cried the man with the beard
591,592," said the policeman, stepping into the yard and stopping.","This way,",The Policeman,"['The Cabman', 'Mr. Thomas Marvel']",NO MONOLOGUE,0,16,Explicit,said the policeman
592,593,A piece of tile whizzed by his head and smashed among the crockery on the kitchen table.,NO QUOTE,,,,0,16,1.0,1.0
593,594," shouted the man with the black beard, and suddenly a steel barrel shone over the policeman s shoulder, and five bullets had followed one another into the twilight whence the missile had come. As he fired, the man with the beard moved his hand in a horizontal curve, so that his shots radiated out into the narrow yard like spokes from a wheel.","I ll show him,",The Man With The Black Beard,"['The Invisible Man', 'Mr. Thomas Marvel', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,shouted the man with the black beard
594,595,A silence followed.  /newquote  said the man with the black beard. ,"Five cartridges, /newquote That s the best of all. Four aces and a joker. Get a lantern, someone, and come and feel about for his body.",The Man With The Black Beard,"['Mr. Thomas Marvel', 'The Policeman', 'The Cabman', 'The Barman']",NO MONOLOGUE,0,16,Explicit,said the man with the black beard
595,596,DR. KEMP S VISITOR,NO QUOTE,,,,0,17,1.0,1.0
596,597,"Dr. Kemp had continued writing in his study until the shots aroused him. Crack, crack, crack, they came one after the other.",NO QUOTE,,,,0,17,1.0,1.0
597,598," said Dr. Kemp, putting his pen into his mouth again and listening. ",Hullo! /newquote Who s letting off revolvers in Burdock? What are the asses at now?,Kemp,[],NO MONOLOGUE,0,17,Explicit,said Dr Kemp
598,599,"He went to the south window, threw it up, and leaning out stared down on the network of windows, beaded gas-lamps and shops, with its black interstices of roof and yard that made up the town at night.  /newquote  he said,  /newquote  and remained watching. Thence his eyes wandered over the town to far away where the ships  lights shone, and the pier glowed a little illuminated, facetted pavilion like a gem of yellow light. The moon in its first quarter hung over the westward hill, and the stars were clear and almost tropically bright.","Looks like a crowd down the hill, /newquote by  The Cricketers, ",Kemp,[],NO MONOLOGUE,0,17,Anaphoric,he said
599,600,"After five minutes, during which his mind had travelled into a remote speculation of social conditions of the future, and lost itself at last over the time dimension, Dr. Kemp roused himself with a sigh, pulled down the window again, and returned to his writing desk.",NO QUOTE,,,,0,17,1.0,1.0
600,601,"It must have been about an hour after this that the front-door bell rang. He had been writing slackly, and with intervals of abstraction, since the shots. He sat listening. He heard the servant answer the door, and waited for her feet on the staircase, but she did not come.  /newquote  said Dr. Kemp.","Wonder what that was,",Kemp,[],NO MONOLOGUE,0,17,Explicit,said Dr Kemp
601,602,"He tried to resume his work, failed, got up, went downstairs from his study to the landing, rang, and called over the balustrade to the housemaid as she appeared in the hall below.  /newquote  he asked.",Was that a letter?,Kemp,['The Housemaid'],NO MONOLOGUE,0,17,Anaphoric,he asked
602,603, she answered.,"Only a runaway ring, sir,",The Housemaid,['Kemp'],NO MONOLOGUE,0,17,Anaphoric,she answered
603,604," he said to himself. He went back to his study, and this time attacked his work resolutely. In a little while he was hard at work again, and the only sounds in the room were the ticking of the clock and the subdued shrillness of his quill, hurrying in the very centre of the circle of light his lampshade threw on his table.","I m restless to-night,",Kemp,['Kemp'],NO MONOLOGUE,0,17,Anaphoric,he said to himself
604,605,"It was two o clock before Dr. Kemp had finished his work for the night. He rose, yawned, and went downstairs to bed. He had already removed his coat and vest, when he noticed that he was thirsty. He took a candle and went down to the dining-room in search of a syphon and whiskey.",NO QUOTE,,,,0,17,1.0,1.0
605,606,"Dr. Kemp s scientific pursuits have made him a very observant man, and as he recrossed the hall, he noticed a dark spot on the linoleum near the mat at the foot of the stairs. He went on upstairs, and then it suddenly occurred to him to ask himself what the spot on the linoleum might be. Apparently some subconscious element was at work. At any rate, he turned with his burden, went back to the hall, put down the syphon and whiskey, and bending down, touched the spot. Without any great surprise he found it had the stickiness and colour of drying blood.",NO QUOTE,,,,0,17,1.0,1.0
606,607,"He took up his burden again, and returned upstairs, looking about him and trying to account for the blood-spot. On the landing he saw something and stopped astonished. The door-handle of his own room was blood-stained.",NO QUOTE,,,,0,17,1.0,1.0
607,608,"He looked at his own hand. It was quite clean, and then he remembered that the door of his room had been open when he came down from his study, and that consequently he had not touched the handle at all. He went straight into his room, his face quite calm perhaps a trifle more resolute than usual. His glance, wandering inquisitively, fell on the bed. On the counterpane was a mess of blood, and the sheet had been torn. He had not noticed this before because he had walked straight to the dressing-table. On the further side the bedclothes were depressed as if someone had been recently sitting there.",NO QUOTE,,,,0,17,1.0,1.0
608,609,"Then he had an odd impression that he had heard a low voice say,  /newquote  But Dr. Kemp was no believer in voices.",Good Heavens! Kemp!,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Anaphoric,he had heard a low voice say
609,610,"He stood staring at the tumbled sheets. Was that really a voice? He looked about again, but noticed nothing further than the disordered and blood-stained bed. Then he distinctly heard a movement across the room, near the wash-hand stand. All men, however highly educated, retain some superstitious inklings. The feeling that is called  /newquote  came upon him. He closed the door of the room, came forward to the dressing-table, and put down his burdens. Suddenly, with a start, he perceived a coiled and blood-stained bandage of linen rag hanging in mid-air, between him and the wash-hand stand.",eerie,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,17,Anaphoric,he cried
610,611,"He stared at this in amazement. It was an empty bandage, a bandage properly tied but quite empty. He would have advanced to grasp it, but a touch arrested him, and a voice speaking quite close to him.",NO QUOTE,,,,0,17,1.0,1.0
611,612, said the Voice.,Kemp!,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Anaphoric,he had heard a low voice say
612,613," said Kemp, with his mouth open.",Eh?,The Mariner,['Mr. Thomas Marvel'],NO MONOLOGUE,0,17,Implicit,
613,614, said the Voice. ,"Keep your nerve, /newquote I m an Invisible Man.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Voice
614,615,"Kemp made no answer for a space, simply stared at the bandage.  /newquote  he said.","Invisible Man,",Cuss,['Bunting'],NO MONOLOGUE,0,17,Explicit,said Cuss
615,616, repeated the Voice.,"I am an Invisible Man,",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,repeated the Voice
616,617,The story he had been active to ridicule only that morning rushed through Kemp s brain. He does not appear to have been either very much frightened or very greatly surprised at the moment. Realisation came later.,NO QUOTE,,,,0,17,1.0,1.0
617,618, he said. The thought uppermost in his mind was the reiterated arguments of the morning.  /newquote  he asked.,"I thought it was all a lie, /newquote Have you a bandage on?",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Anaphoric,he said
618,619, said the Invisible Man.,"Yes,",Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,17,Explicit,said Teddy
619,620," said Kemp, and then roused himself.  /newquote  he said.  /newquote  He stepped forward suddenly, and his hand, extended towards the bandage, met invisible fingers.",Oh! /newquote I say! /newquote But this is nonsense. It s some trick.,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Anaphoric,he said
620,621,He recoiled at the touch and his colour changed.,NO QUOTE,,,,0,17,1.0,1.0
